datetime,Open,High,Low,Close,Volume
2026-01-27 11:10:00,60.364,60.389,60.349,60.379,26.0
2026-01-27 11:15:00,60.374,60.389,60.369,60.379,22.0
2026-01-27 11:20:00,60.389,60.399,60.359,60.369,22.0
2026-01-27 11:25:00,60.359,60.359,60.309,60.339,53.0
2026-01-27 11:30:00,60.349,60.404,60.339,60.399,31.0
2026-01-27 11:35:00,60.409,60.409,60.369,60.369,15.0
2026-01-27 11:40:00,60.374,60.379,60.329,60.339,12.0
2026-01-27 11:45:00,60.344,60.359,60.339,60.349,17.0
2026-01-27 11:50:00,60.339,60.339,60.319,60.339,35.0
2026-01-27 11:55:00,60.329,60.329,60.309,60.319,11.0
2026-01-27 12:00:00,60.309,60.319,60.269,60.314,41.0
2026-01-27 12:05:00,60.319,60.389,60.309,60.379,45.0
2026-01-27 12:10:00,60.369,60.379,60.329,60.339,28.0
2026-01-27 12:15:00,60.329,60.359,60.329,60.349,6.0
2026-01-27 12:20:00,60.354,60.359,60.329,60.339,26.0
2026-01-27 12:25:00,60.349,60.389,60.339,60.384,21.0
2026-01-27 12:30:00,60.379,60.434,60.369,60.419,62.0
2026-01-27 12:35:00,60.424,60.449,60.419,60.419,57.0
2026-01-27 12:40:00,60.424,60.439,60.409,60.429,42.0
2026-01-27 12:45:00,60.434,60.479,60.429,60.479,37.0
2026-01-27 12:50:00,60.469,60.519,60.469,60.519,18.0
2026-01-27 12:55:00,60.514,60.539,60.499,60.509,61.0
2026-01-27 13:00:00,60.514,60.529,60.479,60.529,56.0
2026-01-27 13:05:00,60.539,60.569,60.529,60.549,67.0
2026-01-27 13:10:00,60.559,60.594,60.544,60.559,54.0
2026-01-27 13:15:00,60.569,60.599,60.544,60.549,53.0
2026-01-27 13:20:00,60.559,60.609,60.549,60.589,50.0
2026-01-27 13:25:00,60.579,60.629,60.574,60.599,104.0
2026-01-27 13:30:00,60.589,60.609,60.559,60.569,76.0
2026-01-27 13:35:00,60.564,60.579,60.489,60.489,105.0
2026-01-27 13:40:00,60.479,60.489,60.439,60.479,103.0
2026-01-27 13:45:00,60.489,60.589,60.479,60.554,113.0
2026-01-27 13:50:00,60.549,60.639,60.549,60.604,117.0
2026-01-27 13:55:00,60.609,60.629,60.599,60.614,80.0
2026-01-27 14:00:00,60.619,60.639,60.509,60.529,123.0
2026-01-27 14:05:00,60.524,60.579,60.499,60.524,144.0
2026-01-27 14:10:00,60.529,60.559,60.499,60.509,97.0
2026-01-27 14:15:00,60.499,60.519,60.449,60.494,90.0
2026-01-27 14:20:00,60.489,60.504,60.459,60.484,119.0
2026-01-27 14:25:00,60.489,60.509,60.439,60.454,77.0
2026-01-27 14:30:00,60.459,60.519,60.449,60.479,92.0
2026-01-27 14:35:00,60.469,60.549,60.419,60.424,130.0
2026-01-27 14:40:00,60.429,60.489,60.388,60.479,175.0
2026-01-27 14:45:00,60.484,60.529,60.449,60.529,136.0
2026-01-27 14:50:00,60.524,60.539,60.449,60.519,151.0
2026-01-27 14:55:00,60.509,60.519,60.449,60.479,121.0
2026-01-27 15:00:00,60.484,60.589,60.479,60.549,289.0
2026-01-27 15:05:00,60.539,60.584,60.519,60.559,199.0
2026-01-27 15:10:00,60.564,60.589,60.509,60.519,184.0
2026-01-27 15:15:00,60.509,60.569,60.448,60.509,202.0
2026-01-27 15:20:00,60.514,60.519,60.453,60.464,253.0
2026-01-27 15:25:00,60.458,60.464,60.268,60.278,347.0
2026-01-27 15:30:00,60.288,60.418,60.238,60.388,360.0
2026-01-27 15:35:00,60.393,60.489,60.373,60.443,177.0
2026-01-27 15:40:00,60.448,60.499,60.433,60.478,108.0
2026-01-27 15:45:00,60.488,60.519,60.368,60.378,230.0
2026-01-27 15:50:00,60.373,60.478,60.358,60.438,216.0
2026-01-27 15:55:00,60.433,60.524,60.408,60.518,155.0
2026-01-27 16:00:00,60.529,60.569,60.458,60.468,211.0
2026-01-27 16:05:00,60.473,60.488,60.388,60.398,176.0
2026-01-27 16:10:00,60.408,60.468,60.398,60.438,125.0
2026-01-27 16:15:00,60.448,60.579,60.418,60.569,153.0
2026-01-27 16:20:00,60.579,60.679,60.528,60.659,192.0
2026-01-27 16:25:00,60.669,60.749,60.659,60.704,236.0
2026-01-27 16:30:00,60.709,60.799,60.619,60.659,206.0
2026-01-27 16:35:00,60.669,60.709,60.609,60.609,175.0
2026-01-27 16:40:00,60.619,60.724,60.609,60.639,194.0
2026-01-27 16:45:00,60.649,60.669,60.619,60.629,171.0
2026-01-27 16:50:00,60.619,60.749,60.598,60.689,180.0
2026-01-27 16:55:00,60.684,60.739,60.649,60.739,115.0
2026-01-27 17:00:00,60.729,60.809,60.719,60.804,258.0
2026-01-27 17:05:00,60.799,60.929,60.739,60.899,216.0
2026-01-27 17:10:00,60.894,61.089,60.879,60.984,335.0
2026-01-27 17:15:00,60.989,61.049,60.964,61.009,144.0
2026-01-27 17:20:00,61.019,61.019,60.919,60.944,177.0
2026-01-27 17:25:00,60.949,61.009,60.909,60.929,115.0
2026-01-27 17:30:00,60.934,61.039,60.909,61.019,115.0
2026-01-27 17:35:00,61.009,61.114,61.009,61.094,140.0
2026-01-27 17:40:00,61.089,61.119,61.059,61.064,134.0
2026-01-27 17:45:00,61.069,61.074,61.019,61.029,143.0
2026-01-27 17:50:00,61.019,61.079,60.979,60.989,171.0
2026-01-27 17:55:00,60.999,61.049,60.999,61.029,93.0
2026-01-27 18:00:00,61.019,61.059,60.929,60.954,178.0
2026-01-27 18:05:00,60.949,61.029,60.939,61.019,146.0
2026-01-27 18:10:00,61.024,61.069,60.999,61.004,141.0
2026-01-27 18:15:00,61.009,61.039,60.999,61.009,107.0
2026-01-27 18:20:00,61.019,61.034,60.914,60.944,160.0
2026-01-27 18:25:00,60.939,60.969,60.869,60.869,185.0
2026-01-27 18:30:00,60.859,60.889,60.738,60.748,240.0
2026-01-27 18:35:00,60.738,60.839,60.678,60.804,222.0
2026-01-27 18:40:00,60.799,60.799,60.728,60.728,145.0
2026-01-27 18:45:00,60.723,60.743,60.668,60.698,208.0
2026-01-27 18:50:00,60.703,60.788,60.693,60.738,161.0
2026-01-27 18:55:00,60.733,60.763,60.678,60.708,172.0
2026-01-27 19:00:00,60.703,60.738,60.668,60.728,118.0
2026-01-27 19:05:00,60.738,60.778,60.678,60.678,125.0
2026-01-27 19:10:00,60.683,60.733,60.643,60.713,133.0
2026-01-27 19:15:00,60.718,60.758,60.678,60.718,134.0
2026-01-27 19:20:00,60.728,60.748,60.618,60.618,139.0
2026-01-27 19:25:00,60.608,60.668,60.578,60.658,187.0
2026-01-27 19:30:00,60.663,60.678,60.538,60.598,144.0
2026-01-27 19:35:00,60.608,60.618,60.578,60.578,135.0
2026-01-27 19:40:00,60.588,60.608,60.548,60.598,131.0
2026-01-27 19:45:00,60.588,60.708,60.588,60.678,155.0
2026-01-27 19:50:00,60.688,60.813,60.668,60.798,142.0
2026-01-27 19:55:00,60.803,60.818,60.718,60.738,131.0
2026-01-27 20:00:00,60.743,60.828,60.708,60.813,372.0
2026-01-27 20:05:00,60.818,60.898,60.808,60.858,176.0
2026-01-27 20:10:00,60.853,60.938,60.828,60.863,173.0
2026-01-27 20:15:00,60.858,61.104,60.858,61.099,266.0
2026-01-27 20:20:00,61.109,61.159,61.039,61.099,321.0
2026-01-27 20:25:00,61.109,61.239,61.089,61.229,276.0
2026-01-27 20:30:00,61.234,61.399,61.199,61.259,480.0
2026-01-27 20:35:00,61.249,61.419,61.239,61.379,423.0
2026-01-27 20:40:00,61.384,61.74,61.379,61.71,817.0
2026-01-27 20:45:00,61.705,61.775,61.609,61.649,707.0
2026-01-27 20:50:00,61.659,61.94,61.589,61.805,784.0
2026-01-27 20:55:00,61.81,61.88,61.77,61.88,520.0
2026-01-27 21:00:00,61.89,61.91,61.699,61.73,835.0
2026-01-27 21:05:00,61.735,61.77,61.589,61.599,435.0
2026-01-27 21:10:00,61.589,61.639,61.549,61.559,392.0
2026-01-27 21:15:00,61.554,61.599,61.459,61.489,452.0
2026-01-27 21:20:00,61.499,61.499,61.319,61.369,380.0
2026-01-27 21:25:00,61.364,61.439,61.209,61.269,437.0
2026-01-27 21:30:00,61.274,61.349,61.028,61.078,781.0
2026-01-27 21:35:00,61.088,61.299,61.068,61.249,698.0
2026-01-27 21:40:00,61.239,61.429,61.179,61.339,486.0
2026-01-27 21:45:00,61.349,61.419,61.289,61.339,360.0
2026-01-27 21:50:00,61.329,61.429,61.239,61.339,440.0
2026-01-27 21:55:00,61.329,61.379,61.259,61.369,282.0
2026-01-27 22:00:00,61.364,61.384,61.274,61.279,350.0
2026-01-27 22:05:00,61.289,61.459,61.199,61.449,390.0
2026-01-27 22:10:00,61.439,61.519,61.379,61.424,418.0
2026-01-27 22:15:00,61.429,61.459,61.279,61.329,301.0
2026-01-27 22:20:00,61.319,61.329,61.199,61.299,295.0
2026-01-27 22:25:00,61.304,61.359,61.279,61.329,210.0
2026-01-27 22:30:00,61.319,61.454,61.309,61.449,245.0
2026-01-27 22:35:00,61.454,61.529,61.399,61.509,283.0
2026-01-27 22:40:00,61.504,61.589,61.439,61.579,298.0
2026-01-27 22:45:00,61.569,61.589,61.519,61.589,223.0
2026-01-27 22:50:00,61.599,61.729,61.599,61.689,334.0
2026-01-27 22:55:00,61.679,61.799,61.639,61.789,256.0
2026-01-27 23:00:00,61.794,61.799,61.714,61.759,349.0
